"cpue","upr","lwr","year","type","assessmentyear"
1305.96181366583,1740.34915163867,979.996604214419,2008,"standardized",2019
1106.54322034814,1480.71454593664,826.92366456351,2009,"standardized",2019
707.143691801453,930.546206305721,537.37492825832,2010,"standardized",2019
641.350465849378,843.565615656917,487.609277109872,2011,"standardized",2019
522.536670539179,688.962163697308,396.312869480205,2012,"standardized",2019
605.508926334008,829.606547500034,441.945716285645,2013,"standardized",2019
588.331202883831,796.610024627328,434.508220567101,2014,"standardized",2019
722.242280580261,1016.32337956927,513.255841933746,2015,"standardized",2019
603.58449748754,822.299497908592,443.043254354247,2016,"standardized",2019
770.882823962597,1053.38831841832,564.141748954309,2017,"standardized",2019
653.680626958403,880.652207483742,485.20671205905,2018,"standardized",2019
590.932111121665,909.031967292632,384.145742415124,2019,"standardized",2019
